id,gsm_out,lte,nr_dss,nr_nsa_sa,nr_gesamt
100mN58751E4890,3,3,2,3,3
100mN58751E4891,3,3,2,3,3
100mN58751E4892,3,3,2,3,3
100mN58751E4893,3,3,2,3,3
100mN58751E4894,3,3,2,3,3
100mN58751E4895,3,3,1,3,3
100mN58751E4896,3,3,1,3,3
100mN58751E4897,3,3,1,3,3
100mN58751E4898,3,3,1,3,3
100mN58751E4899,3,3,2,3,3
100mN58751E4900,3,3,2,3,3
100mN58751E4901,3,3,2,3,3
100mN58751E4902,3,3,2,3,3
100mN58751E4903,3,3,2,3,3
100mN58751E4904,3,3,1,3,3
100mN58751E4905,3,3,2,3,3
100mN58751E4906,3,3,2,3,3
100mN58751E4907,3,3,2,3,3
100mN58751E4908,3,3,2,3,3
100mN58751E4909,3,3,2,3,3
100mN58751E4910,3,3,2,3,3
100mN58751E4920,3,3,2,3,3
100mN58751E4921,3,3,2,3,3
100mN58751E4922,3,3,2,3,3
100mN58751E4923,3,3,2,3,3
100mN58751E4924,3,3,2,3,3
100mN58751E4925,3,3,2,3,3
100mN58751E4926,3,3,2,3,3
100mN58751E4927,3,3,2,3,3
100mN58751E4928,3,3,2,3,3
100mN58751E4929,3,3,2,3,3
100mN58751E4930,3,3,2,3,3
100mN58751E4931,3,3,2,3,3
100mN58751E4932,3,3,2,3,3
100mN58751E4933,3,3,2,3,3
100mN58751E4934,3,3,2,3,3
100mN58751E4935,3,3,2,3,3
100mN58751E4936,3,3,2,3,3
100mN58751E4937,3,3,2,3,3
100mN58751E4938,3,3,2,3,3
100mN58751E4939,3,3,2,3,3
100mN58751E4940,3,3,2,3,3
100mN58751E4941,3,3,2,3,3
100mN58751E4942,3,3,2,3,3
100mN58751E4943,3,3,2,3,3
100mN58751E4944,3,3,2,3,3
100mN58751E4945,3,3,2,3,3
100mN58751E4946,3,3,2,3,3
100mN58751E4947,3,3,2,3,3
100mN58751E4948,3,3,2,3,3
100mN58751E4949,3,3,2,3,3
100mN58751E4950,3,3,2,3,3
100mN58751E4951,3,3,2,3,3
100mN58751E4952,3,3,2,3,3
100mN58751E4953,3,3,2,3,3
100mN58751E4954,3,3,2,3,3
100mN58751E4955,3,3,2,3,3
100mN58751E4956,3,3,2,3,3
100mN58751E4957,3,3,2,3,3
100mN58751E4958,3,3,2,3,3
100mN58751E4959,3,3,2,3,3
100mN58751E4960,3,3,2,3,3
100mN58751E4961,3,3,2,3,3
100mN58751E4962,3,3,2,3,3
100mN58751E4963,3,3,2,3,3
100mN58752E4876,3,3,2,2,3
100mN58752E4877,3,3,2,2,3
100mN58752E4878,3,3,2,2,3
100mN58752E4879,3,3,2,2,3
100mN58752E4880,3,3,2,2,3
100mN58752E4881,3,3,2,2,3
100mN58752E4882,3,3,2,3,3
100mN58752E4883,3,3,2,3,3
100mN58752E4884,3,3,2,3,3
100mN58752E4885,3,3,2,3,3
100mN58752E4886,3,3,2,3,3
100mN58752E4887,3,3,2,3,3
100mN58752E4888,3,3,2,3,3
100mN58752E4889,3,3,2,3,3
100mN58752E4890,3,3,2,3,3
100mN58752E4891,3,3,2,3,3
100mN58752E4892,3,3,2,3,3
100mN58752E4893,3,3,2,3,3
